democracy,mil_expenditure,mil_expenditure_usd,population,women_parl,gdp_capita,gdp_usd,stability,law_business,mil_exp_cap,log_mil_exp_cap,Source
10.0,1.87112181310612,7107542890.88659,18607584.0,15.5405405405405,21478.3851573346,399660855999.457,1.06650125980377,81.25,381.97021660020937,5.947957222710984,HIC
10.0,1.82984191251005,7273760312.61052,19028802.0,22.972972972973,21853.4499933573,415844972940.496,1.33396470546722,81.25,382.25003931464107,5.948687620334152,HIC
10.0,1.87396462061393,7946766201.59082,19495210.0,25.3333333333333,20290.7804189053,395573025330.447,1.18941462039948,81.25,407.6266016929707,6.012801784750295,HIC
10.0,1.84628968871455,9926649415.33553,19720737.0,25.3333333333333,23705.9072163917,467497961560.862,0.878117203712463,81.25,503.3609755728465,6.223292233081937,HIC
10.0,1.82741076940486,11995219709.5054,19932722.0,24.6666666666667,30819.9934867745,614326362213.686,0.935463547706604,81.25,601.7853311507279,6.401561131935229,HIC
10.0,1.80249267959937,13237798498.6292,20176844.0,24.6666666666667,34460.5429970479,695305000206.729,0.8917076587677,81.25,656.088657801448,6.487818952761771,HIC
10.0,1.82233092604478,14239779513.0914,20450966.0,24.6666666666667,36570.7630699009,747907432136.598,0.934466600418091,81.25,696.2888458712122,6.547199737929819,HIC
10.0,1.81227323422698,17186440961.6173,20827622.0,26.6666666666667,41023.7548562293,854427259166.209,0.928874909877777,81.25,825.1753830378378,6.716807079115526,HIC
10.0,1.79668808931838,18633092318.2741,21249199.0,26.6666666666667,49681.2190739771,1055686110665.53,0.954700112342834,81.25,876.8844565987688,6.777514986568417,HIC
10.0,1.92393833394007,18960138513.0129,21691653.0,27.3333333333333,42810.4658391817,928629769751.884,0.855120599269867,83.75,874.0753188801656,6.774309961373243,HIC
10.0,1.85292825768668,23217692815.7335,22031750.0,24.6666666666667,52132.469607935,1148569537284.62,0.888859868049622,83.75,1053.8288068688826,6.961133764372503,HIC
10.0,1.75565694660719,26597198655.3381,22340024.0,24.6666666666667,62598.6866176979,1398456161407.85,0.935710072517395,91.25,1190.562671523455,7.083020894000222,HIC
10.0,1.67096396538491,26216580848.4356,22733465.0,24.6666666666667,68047.3781775015,1546952690139.99,0.997997224330902,91.25,1153.215352276285,7.051176043415476,HIC
10.0,1.63918019954461,24825262588.8168,23128129.0,26.0,68156.3861047269,1576329690003.93,1.03107297420502,93.75,1073.379631738339,6.979498687228078,HIC
10.0,1.77305887756791,25783708714.0042,23475686.0,26.0,62515.3148315008,1467589901175.46,1.03219199180603,93.75,1098.315453444223,7.002442950017371,HIC
