democracy,mil_expenditure,mil_expenditure_usd,population,women_parl,gdp_capita,gdp_usd,stability,law_business,mil_exp_cap,log_mil_exp_cap,Source
10.0,1.8442215231844143,18847774642.021523,21708323.157894738,25.39544807965862,44940.648213954846,1001296525125.683,0.9793540615784498,87.17105263157895,846.1071450502936,6.675646092649289,HIC
10.0,0.8258539491402261,2972013174.3414288,8387066.166666667,30.78324225865208,43615.20933446339,367269337047.32965,1.1241451534960005,88.29861111111111,353.72135863596736,5.859207260389041,HIC
-8.25,3.8336875865485474,1013460937.5000004,1172148.875,5.46875,21685.863888803142,26050333111.702118,-0.5411955068702808,33.0859375,833.8203107705702,6.6969439393213985,HIC
8.736842105263158,1.0930979856555432,4623970570.566377,10818954.210526315,34.456140350877185,39893.593755595066,434159374252.33154,0.7883714406113874,90.72368421052632,426.5874574820828,6.044417733362624,HIC
10.0,1.1729198318296772,16626806815.605766,33815635.722222224,23.155545993517617,41582.90439085137,1419785417919.531,1.058734244770474,97.5,486.5925751733705,6.1555539068088345,HIC
9.61111111111111,2.316339050880684,3995845900.501592,16766207.444444444,14.541517323775382,10606.372064876983,181404101854.81277,0.5261766355898648,71.5625,235.04172838487298,5.413179105148623,HIC
8.055555555555555,2.0461316888725083,961623104.6654974,4282312.777777778,20.17883260530818,11962.364958742455,51008018929.45468,0.5704412642452451,84.16666666666667,224.45702069583191,5.40026753639521,HIC
10.0,1.9691624380871526,383182854.733615,1095877.2631578948,12.87593984962407,25894.90388569079,20787461693.231983,0.49670872562810003,86.08552631578948,350.93684673412963,5.844204455952502,HIC
9.31578947368421,1.3553960332862194,2150898334.497556,10398557.789473685,18.36842105263158,16534.99098120342,172581301291.7484,0.9450684268223611,83.6842105263158,206.69842690166755,5.306536003011523,HIC
10.0,1.3305757799538063,3809180011.596153,5530950.736842105,37.930020582181726,52382.83185992945,290795303693.52106,1.0812817937449406,95.46052631578948,687.4794345064325,6.519623157461249,HIC
8.842105263157896,1.7284820515234542,341886308.3827237,1341807.4210526317,20.541427826993228,14237.30033695957,18964274562.115894,0.6914726621226261,84.40789473684211,257.0143274904457,5.3794744722706005,HIC
10.0,1.4210048152761836,3248779704.182186,5341552.47368421,39.8421052631579,42455.70403455018,227545629667.0532,1.399733314388677,93.58552631578948,605.9924328533376,6.37388234488987,HIC
10.0,1.970789883218079,46504003724.34902,64396515.78947368,20.348985204483075,36856.321283697405,2384406265736.7334,0.44242468407671703,95.23026315789474,719.7364617786743,6.566751652725941,HIC
10.0,1.2254229530062932,38830649495.65381,81927694.10526316,32.63768607663666,39087.55917199288,3199835709192.785,0.8660407944729459,90.13157894736842,474.32874559428745,6.148938791561971,HIC
10.0,2.759741017323961,6464778259.5372505,10935044.578947369,15.491228070175444,21594.960232763322,236714082435.22208,0.2153647494943519,86.05263157894737,589.7324689817559,6.34823619114591,HIC
6.222222222222222,1.2986849694849036,32370836.932346318,756550.6666666666,28.77676833225181,3885.4726853302045,2937632983.3183837,-0.41405695283578514,86.875,42.72637915382765,3.686423195647527,HIC
10.0,1.1941534638551474,1360441963.7953053,10001060.157894736,9.77968391289428,11871.725678431583,118345274470.69765,0.8351477698275916,85.52631578947368,136.23112175948117,4.887804885834761,HIC
10.0,0.5219139198343391,1119631502.743475,4396173.157894737,15.205936701806921,51773.6559935828,231637423523.89288,1.1404780965102346,94.76973684210526,253.92448700290856,5.5265673591953615,HIC
6.0,5.9967247527156,13055044481.787754,7493910.52631579,18.55263157894738,29484.024901833243,227088674405.6818,-1.1920030368001835,78.02631578947368,1706.0598669026508,7.419719257896497,HIC
10.0,1.4993561338611199,28264091641.934296,58942972.526315786,21.024276637460087,32336.705349027474,1910344346190.7446,0.5150036858884913,87.73026315789474,479.33375974046066,6.161149400259796,HIC
10.0,0.9357258071636928,46750348567.85342,127482000.0,8.79451344830667,39159.8709029583,4992922606672.442,1.0369770056323002,77.17105263157895,366.6658784178611,5.899216490510642,HIC
8.0,2.478209577214366,27180395236.27921,49296268.78947368,13.068499006714118,22302.991390442312,1109480185892.764,0.36102453109465155,79.63815789473684,546.1566777737913,6.244412484941585,HIC
-7.0,4.914520598133262,4608205283.815378,2941985.263157895,2.8582995951417005,35221.97360307321,106457602215.20943,0.2572308094485811,27.730263157894736,1549.4856747083916,7.343181457259201,HIC
8.0,1.3247868009485522,316628555.73865885,2137883.6315789474,19.894736842105264,11224.339653661755,23380765791.318207,0.5219075597430531,92.96052631578948,151.9465208797254,4.839856499261363,HIC
10.0,1.1611527645014337,407466298.20107603,3151337.5263157897,19.790591211649915,11436.569457729616,34959969613.77891,0.7553988899055283,89.01315789473684,134.17867366221236,4.740044477019615,HIC
10.0,0.47500269516749927,222944915.12908137,506997.36842105264,22.89473684210525,96102.87868558368,49786280321.067276,1.4145636182082326,92.79605263157895,434.72712453895446,6.059212627657243,HIC
10.0,1.3160133307657884,9753264696.942663,16546231.842105264,37.85964912280703,45383.16107260027,753553308015.0421,1.0682924107501386,93.02631578947368,588.440449415389,6.362621697879047,HIC
10.0,1.215906032474961,1574536640.6305308,4314721.052631579,32.11034377027789,31755.768406920823,139693050070.53848,1.35023159729807,91.21710526315789,360.13026152693834,5.862991414649255,HIC
10.0,1.629503383060748,5782470509.638938,4857746.947368421,38.503439879958115,75073.10702192147,368540772500.3869,1.2792817542427468,94.70394736842105,1180.5637125357205,7.051940250582172,HIC
-8.0,7.902101938700887,5520468140.442132,3378808.533333333,1.1131135184997687,19044.085186593733,65545182730.81925,0.7460655192534131,35.625,1567.4305068492147,7.3172781250261085,HIC
